Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Black Lotus,Alpha,1,Mint,English,,No,No,No,No,No,No,10000.00
2,1,Lightning Bolt,Beta,39,Near Mint,English,foil,No,No,No,No,No,No,50.00
1,0,Counterspell,Unlimited,65,Good (Lightly Played),English,,No,No,No,No,No,No,25.00
3,0,Dark Ritual,Revised,64,Near Mint,English,,No,No,No,No,No,No,15.00
2,1,Ancestral Recall,Alpha,2,Played,English,,Yes,No,No,No,No,No,5000.00
1,0,Time Walk,Alpha,48,Mint,English,,No,No,No,No,No,No,7500.00
4,0,Mox Pearl,Alpha,226,Near Mint,English,,No,No,No,No,No,No,3000.00
3,2,Fireball,Revised,125,Near Mint,English,,No,No,No,No,No,No,5.00
2,0,Sol Ring,Revised,263,Lightly Played,English,,No,No,No,No,No,No,20.00
1,0,Jace, the Mind Sculptor,Worldwake,31,Near Mint,English,foil,No,No,No,No,No,No,150.00
